,DAM price
0,35.67742636260676
1,35.508872994794295
2,34.65772347774841
3,34.972359941972364
4,36.59271590726047
5,47.83174809757787
6,58.22671860876384
7,66.010259870921
8,57.56548926333646
9,55.91652948823449
10,53.22593552896758
11,51.134153285107736
12,49.99217572692982
13,47.871724709478485
14,47.24346525818757
15,49.295512402679414
16,51.109481049910734
17,58.262635574535764
18,68.44991316638752
19,67.18047892116098
20,57.8654364715982
21,47.233819693714246
22,42.32996671855143
23,42.9351124600562
24,37.668600932897284
25,36.30134886328428
26,34.82194182926725
27,35.77833196371591
28,39.223505595609616
29,50.697633023944405
30,61.90732476451306
31,71.0603412751369
32,63.87212867294085
33,56.23476325973266
34,50.60263506218021
35,45.09586128434506
36,44.38199691283994
37,41.959110236327945
38,44.453102212679674
39,44.966293373542214
40,51.952912488825
41,62.21573508635663
42,65.51670753148059
43,67.75328991551832
44,55.803933010840474
45,48.752651864323454
46,45.03026645550634
47,44.79011896260162
48,38.52396986667185
49,35.94819004376855
50,34.98635781822911
51,35.546075686144405
52,36.356774036929004
53,50.45624402774493
54,55.32736325505665
55,58.58398829670044
56,53.61976950788357
57,45.54753732339362
58,41.6158251857989
59,28.972491345027603
60,31.641834238345467
61,31.42064724859944
62,37.66256788542385
63,31.511536354345935
64,43.97197370529499
65,46.387740042406556
66,49.00824290881066
67,47.479334549210996
68,52.683354427991794
69,39.27898009378267
70,38.00351424710049
71,24.154876895457644
72,24.60327127977636
73,30.599553334892462
74,29.41048696993274
75,28.513617016797923
76,32.07190860143882
77,40.93933976379172
78,51.015651820168245
79,51.73452051286252
80,54.030211404400795
81,55.2063610194895
82,52.24034519109209
83,47.40532727431126
84,45.64616366524912
85,41.12399842976172
86,37.294599064817014
87,38.511334340713624
88,46.98638885892826
89,46.75664036131403
90,51.23885440491503
91,55.42228811317071
92,49.02689368871392
93,44.287884656100395
94,36.290883757012246
95,40.404241201656134
96,36.995833719387335
97,30.516291625025378
98,30.06152875315973
99,28.447931722438298
100,28.782076729039357
101,31.48345587070566
102,34.47208540356015
103,35.800221386131135
104,37.91337016926232
105,34.304807907490826
106,30.209005151872923
107,35.338726480330955
108,21.027525327848398
109,15.587155882718626
110,25.91399055458188
111,31.172135927586528
112,31.97867986724226
113,38.472339106833104
114,45.43306153323209
115,46.55127681860835
116,41.90597547176802
117,40.93407022040297
118,35.00145447456873
119,33.802559980132806
120,32.883708055244384
121,29.34570126739367
122,28.935488043231818
123,29.94202678530022
124,29.616215446338426
125,31.050642287557075
126,30.984563572411194
127,28.584535331113578
128,34.147392730490466
129,31.536766027090362
130,33.99406162741073
131,32.86057727781437
132,29.74348075489431
133,31.153131058835697
134,30.36210641260084
135,32.231342284860425
136,35.777214247794426
137,39.698008776429134
138,47.81137836905384
139,50.86836083968318
140,47.47060052275474
141,41.75112599792118
142,40.995410379066286
143,39.44961427335754
